City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,kruisfontein,-34.012,24.7433,14.04000000000002,96,34,1.94,ZA,1697416131
65,kondopoga,62.2093,34.2682,4.2900000000000205,79,60,4.68,RU,1697416132
66,crane,31.3957,-102.3521,19.180000000000007,32,0,4.46,US,1697416132
67,keflavik,63.9998,-22.5565,7.9500000000000455,93,75,6.17,IS,1697416133
68,atamyrat,37.8408,65.2064,12.670000000000016,25,97,2.15,TM,1697416133
69,barcelos,41.5314,-8.6192,19.910000000000025,90,94,1.85,PT,1697416134
70,dingwall,57.5953,-4.4284,5.600000000000023,94,100,2.45,GB,1697416070
71,quellon,-43.12,-73.6203,7.890000000000043,89,86,2.51,CL,1697416135
72,coahuayana de hidalgo,18.6963,-103.662,27.78000000000003,83,92,0.59,MX,1697416136
73,ebon,4.5833,168.7333,28.890000000000043,73,98,5.06,MH,1697416136
74,oliver,49.1833,-119.55,17.25,59,92,2.06,CA,1697416137
75,quemado de guines,22.7874,-80.253,27.100000000000023,64,67,4.52,CU,1697416138
76,kijang,0.8502,104.6028,28.420000000000016,77,79,6.2,ID,1697416138
77,dudinka,69.4061,86.1751,-6.829999999999984,91,34,3.58,RU,1697416139
78,edinburgh of the seven seas,-37.0676,-12.3108,11.770000000000039,69,77,11.85,SH,1697416140
79,pisco,-13.71,-76.203,18.939999999999998,88,0,6.17,PE,1697416141
80,byron bay,-28.6483,153.6178,32.620000000000005,49,0,6.53,AU,1697416141
81,eirunepe,-6.6568,-69.8662,25.870000000000005,71,59,1.08,BR,1697416143
82,buala,-8.1455,159.593,29.5,70,98,1.17,SB,1697416143
83,bilibino,68.055,166.4449,-10.560000000000002,94,99,0.26,RU,1697416144
84,flin flon,54.7698,-101.879,8.060000000000002,67,12,2.05,CA,1697416145
85,tateyama,34.9965,139.87,20.54000000000002,62,0,4.28,JP,1697416145
86,hilo,19.7074,-155.0816,32.33000000000004,70,0,4.12,US,1697416146
87,mount gambier,-37.8247,140.782,12.330000000000041,53,80,5.96,AU,1697416146
88,marsaskala,35.8629,14.5592,23.400000000000034,78,0,2.57,MT,1697416147
89,bubaque,11.2997,-15.8335,28.200000000000045,81,93,5.53,GW,1697416148
90,enewetak,11.3409,162.3245,28.560000000000002,75,99,5.15,MH,1697416148
91,mariehamn,60.1024,19.9413,6.590000000000032,70,75,4.63,AX,1697416149
92,acajutla,13.5898,-89.8298,27.660000000000025,79,65,0.47,SV,1697416149
93,birao,10.2962,22.781,22.150000000000034,86,98,2.41,CF,1697416150
94,vaasa,63.0818,21.4798,5.560000000000002,65,0,5.81,FI,1697416151
95,margaret river,-33.9532,115.0769,19.400000000000034,51,100,5.17,AU,1697416151
96,walvis bay,-22.9543,14.5075,13.379999999999995,100,0,2.06,NA,1697416152
97,itoman,26.106,127.6861,25.99000000000001,53,20,5.66,JP,1697416152
98,illapel,-31.6327,-71.1683,13.79000000000002,76,87,1.29,CL,1697416153
99,berezovyy,52.8927,50.2243,9.850000000000023,73,58,5.26,RU,1697416154
100,skovorodino,53.9863,123.9373,-0.5799999999999841,57,0,1.86,RU,1697416154
101,saipan,15.191,145.7467,26.110000000000014,89,40,2.06,MP,1697416155
102,saint-philippe,45.3584,-73.479,11.620000000000005,90,100,1.54,CA,1697416156
103,tura,47.39,0.6889,8.32000000000005,71,0,4.63,FR,1697416156
104,tazovsky,67.4735,78.7149,1.400000000000034,98,100,2.07,RU,1697416157
105,dawei,14.0797,98.199,24.390000000000043,93,100,1.25,MM,1697416157
106,san antonio de pale,-1.4046,5.6326,26.090000000000032,82,98,6.6,GQ,1697416158
107,ilabaya,-15.8085,-68.6562,11.120000000000005,83,45,3.13,BO,1697416158
108,avarua,-21.2075,-159.7708,22.99000000000001,64,75,5.14,CK,1697416159
109,north bay,46.3077,-79.4552,10.600000000000023,88,100,4.12,CA,1697415691
110,tolanaro,-25.0297,46.9904,21.879999999999995,83,75,2.06,MG,1697416160
111,susuman,62.7797,148.1536,-9.42999999999995,83,100,0.89,RU,1697416161
112,longyearbyen,78.2232,15.6464,-0.8499999999999659,69,75,7.2,SJ,1697416161
113,port elizabeth,-33.9624,25.6232,17.29000000000002,94,75,4.63,ZA,1697416057
114,aasiaat,68.7096,-52.8513,-5.569999999999993,75,100,3.34,GL,1697416163
115,nouadhibou,20.9127,-17.0503,25.25,58,37,7.47,MR,1697416163
116,sarykemer,43.0004,71.512,2.730000000000018,52,11,1.84,KZ,1697416164
117,wanning,18.7961,110.3873,24.79000000000002,92,100,6.32,CN,1697416164
118,touros,-5.1999,-35.4595,25.49000000000001,80,100,8.35,BR,1697416165
119,kita,-0.2202,-78.5123,12.350000000000023,88,75,3.09,EC,1697416166
120,port augusta,-32.4909,137.764,17.470000000000027,47,34,8.97,AU,1697416166
121,arraial do cabo,-22.9663,-42.0244,22.180000000000007,91,94,6.4,BR,1697416167
122,tamanrasset,22.7855,5.5324,22.900000000000034,27,0,2.57,DZ,1697416167
123,pacocha,-10.3294,-77.1926,12.460000000000036,80,98,0.91,PE,1697416168
124,stanley,-51.6951,-57.8492,5.189999999999998,80,85,4.72,FK,1697416169
125,lorengau,-2.033,147.2789,29.230000000000018,69,100,2.82,PG,1697416169
126,luanda,-8.8273,13.244,25.02000000000004,83,75,3.6,AO,1697416170
127,sao vicente,-23.9604,-46.3847,22.390000000000043,26,69,0.57,BR,1697416171
128,revda,56.8001,59.9087,7.430000000000007,90,99,6.03,RU,1697416171
129,cururupu,-1.8243,-44.873,25.010000000000048,88,67,2.32,BR,1697416172
130,kapuskasing,49.4167,-82.4333,6.050000000000011,87,100,4.63,CA,1697416173
131,talnakh,69.494,88.3908,-9.67999999999995,92,29,1.16,RU,1697416173
132,hawaiian paradise park,19.585,-154.9731,29.950000000000045,71,0,4.12,US,1697416174
133,boise,43.6166,-116.2009,26.310000000000002,30,98,4.05,US,1697415932
134,natal,-5.8054,-35.2081,25.360000000000014,78,20,5.14,BR,1697416175
135,hamilton,43.2557,-79.8711,9.860000000000014,85,75,3.6,CA,1697415603
136,aykhal,65.9516,111.4918,-7.899999999999977,85,100,2.24,RU,1697416176
137,sagalo,12.2002,-10.6996,22.32000000000005,81,99,1.07,ML,1697416177
138,la passe,46.2035,-1.4601,10.080000000000041,60,100,10.85,FR,1697416177
139,hami,42.8174,93.5142,10.740000000000009,34,11,3.4,CN,1697416178
140,happy valley-goose bay,53.2964,-60.3112,7.2900000000000205,81,100,7.2,CA,1697416179
141,lucca,43.8428,10.5029,19.28000000000003,77,0,1.03,IT,1697416179
142,kapa'a,-33.929,18.4174,18.150000000000034,66,0,3.6,ZA,1697416180
143,tlahualilo de zaragoza,26.1116,-103.4425,25.80000000000001,45,0,2.9,MX,1697416181
144,lihue,21.977,-159.3688,30.660000000000025,64,75,8.23,US,1697416181
145,tangalle,6.022,80.796,24.170000000000016,88,98,3.07,LK,1697416182
146,tra mhor,52.1644,-7.1518,10.490000000000009,68,100,1.34,IE,1697416182
147,montevallo,33.1007,-86.8642,14.07000000000005,88,100,3.09,US,1697416183
148,mandera,3.9384,41.8573,27.210000000000036,70,88,5.8,KE,1697416184
149,key largo,25.087,-80.4472,28.32000000000005,71,55,7.2,US,1697416184
150,iskateley,67.6762,53.1292,0.5900000000000318,87,100,8.94,RU,1697416185
151,kirakira,-10.4569,161.9202,29.25,74,100,1.89,SB,1697416185
152,chadron,44.9601,3.9355,2.7900000000000205,86,99,0.84,FR,1697416186
